Ticker,PerfWeek,PerfMonth,PerfQuart,PerfHalf,PerfYTD,PerfYear,Perf3Y,Perf5Y,Perf10Y,VolatilityW,VolatilityM,AvgVolume,RelVolume,Price,Change,Volume
ACIU,4.70%,-16.38%,-16.67%,-22.96%,-21.97%,18.36%,28.95%,-70.05%,-,5.50%,5.87%,278.14K,0.62,2.45,-3.54%,"173,465"
ACIW,4.53%,10.18%,16.53%,-4.66%,-2.41%,3.28%,115.52%,22.18%,134.35%,4.38%,3.69%,798.39K,0.76,46.66,0.58%,"609,552"
ACKY,-2.24%,-7.20%,-2.82%,-13.16%,-12.10%,-,-,-,-,1.29%,1.27%,30.97K,1.00,17.26,-1.26%,"31,079"
ACLC,-0.86%,-2.05%,10.46%,4.66%,5.15%,16.12%,52.57%,53.65%,-,0.65%,0.93%,16.83K,0.65,82.39,0.14%,"10,890"
ACLO,0.13%,-0.03%,0.11%,0.46%,0.34%,0.31%,-,-,-,0.09%,0.07%,36.15K,0.04,50.44,-0.01%,"1,623"
ACLS,3.00%,10.00%,79.18%,117.32%,124.92%,157.55%,7.26%,361.91%,1598.31%,4.82%,6.70%,676.55K,0.89,180.70,6.98%,"605,355"
ACLZ,-,-,-,-,13.63%,-,-,-,-,-,-,10.56K,0.04,27.57,13.63%,398
ACM,1.04%,-3.22%,-20.78%,-28.12%,-26.42%,-36.84%,-17.47%,9.71%,127.21%,2.66%,3.41%,1.82M,1.07,70.14,0.43%,"1,938,851"
ACMM,-,-,-,-,11.56%,-,-,-,-,-,-,9.69K,0.27,28.85,11.56%,"2,611"
ACMR,11.09%,23.59%,134.14%,161.85%,170.87%,310.21%,807.90%,209.14%,-,9.51%,9.93%,1.51M,1.16,106.86,5.18%,"1,747,988"
ACN,-19.35%,-28.92%,-34.57%,-53.52%,-53.10%,-57.29%,-57.84%,-57.30%,12.89%,4.92%,4.37%,6.73M,2.66,125.82,-2.58%,"17,871,317"
ACNB,3.95%,7.03%,24.86%,16.68%,21.89%,41.12%,74.20%,110.32%,142.79%,2.33%,2.57%,62.50K,0.92,58.39,0.03%,"57,497"
ACNT,4.34%,1.62%,11.68%,-10.31%,-10.81%,14.69%,60.44%,42.97%,90.00%,3.66%,3.35%,79.36K,1.02,14.44,-0.21%,"80,825"
ACOG,-2.69%,10.54%,22.18%,7.62%,0.00%,-32.08%,62.50%,-,-,7.14%,5.89%,49.79K,1.04,6.50,-1.22%,"51,630"
ACOM,-2.94%,-,-,-,-2.94%,-,-,-,-,-,-,50.52K,0.00,19.29,0.00%,0
ACON,-12.86%,-14.24%,-16.10%,-56.26%,-41.09%,-61.74%,-100.00%,-,-,7.09%,6.84%,104.46K,0.80,2.71,-1.09%,"83,772"
ACP,-0.77%,-3.00%,-0.58%,-4.60%,-4.25%,-11.30%,-23.82%,-53.38%,-54.57%,1.17%,1.28%,516.21K,1.05,5.18,1.17%,"540,434"
ACR,3.15%,-15.07%,-10.61%,-26.73%,-20.24%,-1.33%,106.30%,0.47%,-55.85%,5.42%,4.35%,27.13K,1.25,17.02,-2.69%,"34,007"
ACRE,-3.90%,-9.03%,-8.47%,-15.46%,-7.32%,-10.32%,-55.44%,-70.21%,-63.31%,2.53%,2.52%,404.36K,2.03,4.43,-0.89%,"818,820"
ACRS,11.09%,8.87%,36.77%,59.93%,63.12%,201.23%,-52.10%,-72.40%,-72.87%,6.48%,5.95%,1.40M,0.95,4.91,2.51%,"1,328,937"
ACRV,3.95%,-5.39%,3.95%,-31.90%,-34.44%,18.80%,-88.42%,-,-,6.27%,5.90%,596.11K,0.52,1.58,-2.47%,"312,500"
ACSG,3.58%,4.36%,21.95%,17.22%,20.88%,-,-,-,-,2.06%,1.52%,4.75K,0.87,49.36,0.91%,"4,131"
ACSI,-0.93%,0.75%,11.88%,8.66%,9.47%,17.91%,59.02%,46.20%,-,0.24%,0.27%,0.24K,0.62,73.01,-1.06%,147
ACSV,3.75%,4.67%,15.17%,18.42%,21.15%,-,-,-,-,0.20%,0.49%,1.97K,1.47,49.34,1.09%,"2,897"
ACT,4.69%,4.01%,10.77%,10.63%,12.61%,21.47%,84.39%,-,-,2.42%,2.05%,296.30K,1.01,44.64,0.88%,"298,239"
ACTG,-0.21%,1.08%,-6.75%,26.01%,25.67%,32.02%,13.53%,-27.80%,3.30%,2.84%,2.54%,245.49K,0.53,4.70,0.00%,"129,668"
ACTU,-4.39%,-10.91%,-15.52%,-71.09%,-67.97%,-69.57%,-,-,-,9.43%,12.30%,163.64K,0.55,1.96,0.51%,"90,329"
ACU,7.38%,13.08%,7.04%,14.44%,17.99%,20.28%,87.02%,8.16%,160.60%,2.93%,3.11%,19.29K,0.38,47.56,1.75%,"7,416"
ACV,-2.03%,-1.04%,8.46%,6.23%,4.79%,24.94%,46.73%,1.22%,103.08%,2.32%,2.77%,28.29K,0.76,27.55,0.77%,"21,473"
ACVA,7.00%,10.05%,49.66%,-19.98%,-18.08%,-58.15%,-61.74%,-73.35%,-,4.60%,6.10%,3.19M,0.74,6.57,-0.45%,"2,346,880"
ACVF,0.36%,-0.11%,11.22%,7.66%,8.56%,15.79%,62.39%,68.18%,-,0.81%,1.23%,7.82K,1.37,53.62,0.64%,"10,694"
ACVT,0.04%,0.38%,5.76%,2.82%,3.69%,7.00%,-,-,-,0.11%,0.10%,0.91K,0.00,27.75,0.01%,3
ACVU,1.62%,2.40%,13.93%,11.38%,13.88%,23.68%,-,-,-,0.71%,0.88%,12.02K,1.20,31.21,1.39%,"14,431"
ACWI,-0.71%,-1.99%,11.02%,9.14%,9.34%,22.38%,64.73%,52.40%,185.29%,1.05%,1.26%,3.81M,0.87,154.70,0.30%,"3,329,749"
ACWV,-0.09%,-2.22%,0.45%,0.40%,0.55%,2.10%,23.25%,15.82%,62.67%,0.73%,0.65%,101.79K,1.83,119.40,-0.14%,"186,178"
